city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features,cluster
Lisboa,0.0092335145126169,7.895089114935015,124,Jardim Almeida Garrett,538,4.109735042796566,0.9601,72156,1.4172820672602593,0.4444444444444444,0.6987038246460164,52,8,64,1
Lisboa,0.0391033615026087,69.37399889328081,76,Ecoparque de SÃÂ£o JoÃÂ£o da Talha,360,4.091193682878396,0.8074,42073,0.2755300677282658,0.1666666666666666,0.5940489272213807,71,0,5,1
Lisboa,0.0314923794237711,0.0901824802020433,11,Parque das Merendas,368,4.1078564236818,0.9969,56823,1.4681399390162089,0.2777777777777778,0.675673262271816,1,2,8,1
Lisboa,0.0547828394868702,4.167369629618997,66,Parque Almirante Gago Coutinho,7,4.085556551744923,0.9259,63654,0.6481780625129755,0.3333333333333333,0.6087386455402056,56,4,6,1
Lisboa,0.0487016002540288,4.31841371261953,68,Jardins do PalÃÂ¡cio do MarquÃÂªs de Pombal,510,4.101065079043715,0.9843,67496,0.2567966139845872,0.1666666666666666,0.6087386455402056,64,4,0,1
Lisboa,0.1585148870279692,5.295430781879006,95,Parque Urbano do Vale de Chelas,90,4.085196978977831,0.969,51700,0.3195482007752753,0.2777777777777778,0.414549320152186,89,0,6,1
Lisboa,0.0416220020023053,2.192130917533773,54,Parque da Quinta das Flores,12,4.086343070970661,0.9978,51866,0.6552878040313375,0.1666666666666666,0.6873516581260253,41,0,13,1
Lisboa,0.0218366726689296,12.59611332477334,38,Jardim Mahatma Gandhi,253,4.093274764744061,0.9633,43970,1.1338981241798654,0.3333333333333333,0.5797984268509433,22,3,13,1
Lisboa,0.1279357445327399,41.225430337550215,113,Quinta do Grilo,216,4.082172856364327,0.994,60752,0.1394308753646797,0.1666666666666666,0.439944337355865,110,2,1,1
Lisboa,0.0085763846793882,10.518242871382531,66,Jardim Fernanda de Castro,18,4.086450840112255,0.9897,39465,1.0037434150539064,0.3333333333333333,0.4909470393774917,34,2,30,1
Lisboa,0.0759927938618847,17.95275761673196,97,Mosteiro SÃÂ£o Dinis,410,4.104206021914689,0.935,68048,0.9234037696042624,0.4444444444444444,0.5422191269485712,66,4,27,1
Lisboa,0.0575618047251673,11.851315954671588,70,Parque Rio da Costa,205,4.085458283609984,0.8555,31860,1.47913767293719,0.3888888888888889,0.5422191269485712,28,5,37,1
Lisboa,0.0114453751569222,15.114134180800956,32,Jardim Teixeira Rebelo,474,4.100009379118241,0.9506,58541,1.2556355790521514,0.2777777777777778,0.1980434138998782,14,8,10,1
Lisboa,0.0167588164173536,51.27762460262512,86,Jardim Professor Francisco Caldeira Cabral,117,4.090720673750906,0.9274,70160,0.6628573638835118,0.2222222222222222,0.3070732052495939,67,2,17,1
Lisboa,0.8540892107784039,0.0,132,Parque da Pena,471,4.120759147307445,0.9934,61608,1.3019607275613994,0.6111111111111112,0.4068976782174125,87,9,36,1
Lisboa,0.026805291214948,8.794818855284728,87,Parque Urbano da Ribeirada,456,4.099477316217199,0.8001,54843,0.7286444070155613,0.1666666666666666,0.7470343082788432,28,0,59,1
Lisboa,0.1293237790078811,2.0356013516904614,56,Quinta Municipal Nossa Senhora da Piedade,147,4.096711006390523,0.8364,51871,0.6235699094725959,0.3333333333333333,0.6912202015479465,49,1,6,1
Lisboa,0.0006281614870373,17.984754066938216,13,Anfiteatro Walter Gallardo,161,4.0729189012274105,0.547,46407,1.0579054247036734,0.1666666666666666,0.4909470393774917,4,6,3,1
Lisboa,0.0167198693352625,24.97836972277636,132,Parque Urbano da Terrugem,13,4.085222310694997,0.6249,55217,0.621037225247933,0.2222222222222222,0.4078372741651151,30,0,102,1
Porto,0.0108752181377974,45.34505286185428,104,Jardim de TeÃÂ³filo Braga,728,4.216477057659027,0.9411,46207,0.9847446247947912,0.3888888888888889,0.0488210241763761,25,6,73,1
Porto,0.0313811023920639,37.04473699840906,38,Parque de Real,94,4.217754677001756,0.9903,56541,1.4581135668771883,0.3333333333333333,0.6192763571695825,16,1,21,1
Porto,0.03009036887999,1.9831176836115616,37,Complexo Ambiental da Quinta da Gruta,15,4.218113135721502,0.9194,59951,1.496913919628245,0.5,0.1868076018583179,21,5,11,1
Porto,0.0148033546163085,10.46356277314875,34,Jardim do Homem do Leme,10,4.218186112635757,0.9465,65155,0.9148998837801507,0.2777777777777778,0.7577561499037622,25,4,5,1
Porto,0.0170148361548848,7.630548389702938,31,Jardim da Alameda do Senhor da Pedra,28,4.217899157450819,0.9776,62843,1.470512818916925,0.4444444444444444,0.6380832276749897,19,5,7,1
Porto,0.0345531737438933,19.32228209212477,73,Parque do CarriÃÂ§al,515,4.228865497703386,0.9652,60701,1.1106140494711194,0.3888888888888889,0.4750185794247773,51,0,22,1
Porto,0.017091066804443,47.64305171242477,141,Parque do Senhor de Matosinhos,113,4.213577099201374,0.9758,47965,0.9628119028470496,0.3888888888888889,0.4142733474059926,53,4,84,1
Porto,0.0056068748625395,6.719830196330863,121,Jardins da Casa do Roseiral,31,4.2198029354168805,0.9815,61005,0.6717263834009335,0.3333333333333333,0.0,99,2,20,1
Porto,0.0123737201098456,6.21901679852842,111,Jardins da Casa Tait,35,4.219608391315659,0.9854,45954,0.9783075811954977,0.5,0.0,33,4,74,1
Porto,0.051478341238286,46.5439039322154,118,Parque de SÃÂ£o Roque,984,4.270277517951233,0.998,67771,1.1561712480202746,0.4444444444444444,0.3449111016970972,34,9,75,1
Porto,0.0152718010973064,16.525454909411593,94,Jardim BasÃÂ­lio Teles,11,4.218344488355453,0.9929,70804,1.4188547374991167,0.5555555555555556,0.4142733474059926,46,9,39,1
Wien,0.0070036594445128,87.06499484010423,96,Grete-Rehor-Park,115,4.108341462867652,0.9829,39011,1.2517463830754656,0.3888888888888889,0.4242465156450968,21,2,73,1
Wien,0.0110265990263745,24.675455886113483,105,Ostarrichi-Park,195,4.132391256787129,-0.4728,65718,1.7153847411128986,0.7222222222222222,0.4606752787661083,47,10,48,1
Wien,0.0016220280035957,53.40149543736262,27,Joe-Zawinul-Park,19,4.089712665631075,0.9184,47661,2.021841258787573,0.5555555555555556,0.0,6,1,20,1
Wien,0.007756420812648,24.00202704579944,25,Modenapark,508,4.114560089941678,0.985,52089,1.5406465859104317,0.3888888888888889,0.2699363393335754,9,1,15,1
Wien,0.013451314703756,14.919755339068184,71,Schubertpark,20,4.096070254257706,0.9819,45080,1.6650327433663832,0.5555555555555556,0.3720473378489775,39,5,27,1
Wien,0.0054879612032647,14.138971525614272,65,Streckerpark,81,4.11211087482776,0.9582,60469,0.8291516517674504,0.3888888888888889,0.4093620431534299,7,1,57,1
Wien,0.010408797161132,18.76586211173044,63,Reithofferpark,49,4.093571148830505,0.974,31904,1.6963754972659215,0.5,0.1691557111415995,24,1,38,1
Wien,0.0044050923814196,37.88224480062563,43,Rudolfspark,104,4.10644309369105,0.8457,41440,1.3249191506191385,0.4444444444444444,0.5313426652558086,7,3,33,1
Wien,0.0058097266636455,12.902552210447285,107,Josef-Kainz-Park,75,4.105833129643513,0.9527,42860,0.7280138054604632,0.3333333333333333,0.0099450015467538,5,1,101,1
Wien,0.0119552851280123,9.309146221658992,113,Arne-Karlsson-Park,721,4.122448560181134,0.981,49718,1.9545254719976504,0.6666666666666666,0.1642507770332474,50,15,48,1
Wien,0.006296509327439,53.32486097401754,55,Ludo Hartmann-Park,138,4.12023713940712,0.948,44910,1.04391743601338,0.4444444444444444,0.4910038655796992,9,1,45,1
Wien,0.0215399134796354,100.0,108,Baumgarten-Casino-Park,19,4.0908964662541285,0.9959,60039,1.3511277517065965,0.4444444444444444,0.5283492811524027,16,0,92,1
Wien,0.0117791618728302,24.13596568587305,124,Mortarapark,116,4.101697313947048,0.5489,48049,1.2140393234423177,0.4444444444444444,0.5481842196562317,13,0,111,1
Wien,0.0121369750458039,15.160573247833986,79,Margarete-Ottillinger-Park,45,4.090305842021996,0.9824,56284,1.2013117219889042,0.3333333333333333,0.4346647856916434,47,0,32,1
Wien,0.0072959635362857,10.52797372514578,11,Parkanlage Theophil-Hansen-Gasse,50,4.102866031991367,0.9908,64794,1.294545165844896,0.2777777777777778,0.4346647856916434,6,0,5,1
Wien,0.0032665264475978,21.26087043591264,91,Hof 8,482,4.230023611381951,0.9994,71070,1.670056607556599,0.5,0.4606752787661083,28,4,59,1
