city,area,Vegetation_Cover,Amenities_Total_Count,park_name,reviews_count,weighted_rating,sentiment_score,avg_review_time,Amenities_Diversity_Shannon,Amenities_Diversity,Shape_Deviation,Urban_Circulation_Amenities,Cultural_Context,Urban_Features
Firenze,0.0631513417892372,0.9769318914535988,59,Scuola di Ingegneria,27,4.046361638489723,0.9487,49768,0.7629796636534327,0.16666666666666666,0.4308538549089507,19,0,40
Firenze,0.0736159056670274,0.0,14,Parco della Misericordia,34,4.058363941630874,0.9846,45015,0.25731864054383163,0.1111111111111111,0.0,13,0,1
Firenze,0.0020601487926908,27.56560469338564,57,Piazza Giacomo Puccini,13,4.036158987270098,0.5751,42084,0.742902970016914,0.2777777777777778,0.833028017004745,11,1,45
Firenze,0.0157849184885839,100.0,53,Giardino Corsini,321,4.107359785887393,0.9963,31298,0.9310964293043145,0.2777777777777778,0.7068349918513801,35,4,14
Firenze,0.0655016307361256,24.02433746267367,107,Giardino Storico della Villa Medicea di Castello,884,4.252332808190193,0.9954,56449,0.9111144082614163,0.2777777777777778,0.5083295412637874,44,5,58
Firenze,0.0041880047266213,5.415643213851185,27,Parco Giochi Cortona,16,4.044150602215118,0.9904,62013,0.9707535898006514,0.2777777777777778,0.5137887199503752,8,0,19
Firenze,0.0185751301857493,25.556450486703785,15,Parco del Rosi,463,4.176690488938551,0.9975,57932,0.0,0.05555555555555555,0.4588340731781757,15,0,0
Firenze,0.0307789103110493,17.351667699582578,43,Parco Corsini,235,4.051315814936201,0.9894,37803,1.0524143826189822,0.3333333333333333,0.47963441945088425,16,2,25
Firenze,0.1682295023866668,2.436150500534902,63,Parco Argingrosso,354,4.093261826996766,0.9891,44738,0.7277579979141762,0.3333333333333333,0.833028017004745,52,0,11
Firenze,0.0239483184835813,10.120618202289016,32,Parco di Quinto,205,4.062669109180737,0.9945,60671,0.0,0.05555555555555555,0.6613345396675452,32,0,0
Firenze,0.0175209829763285,1.1258618421162745,38,Parco Bardo,67,4.050354838269068,0.9741,50736,0.8215487366559788,0.2222222222222222,0.44857228036674823,8,1,29
Firenze,0.0507298880193443,0.0,23,Parco della Villa dei Marchesi Gerini,404,4.120307087471266,0.9693,34715,0.5305096302300272,0.2222222222222222,0.44857228036674823,21,1,1
Firenze,0.0048250882525444,64.34725662991671,48,Giardino del Borgo,268,4.11384833108971,0.9931,39822,0.45056120886630463,0.1111111111111111,0.44024188231582173,8,0,40
Firenze,0.009921880891323,7.387502763760205,18,Parco Castelnuovo Tedesco,36,4.044891310408551,0.9632,39998,0.0,0.05555555555555555,0.833028017004745,18,0,0
Firenze,0.0416561828937865,8.151914211938605,22,Parco degli Etruschi,6,4.044178684774083,0.9565,53062,0.8454652292345644,0.16666666666666666,0.7479560554549565,11,0,11
Firenze,0.0086470254298522,5.931410548148943,36,Giardino di Michela Noli,161,4.058968827982913,0.9661,59971,0.4643566259363561,0.2222222222222222,0.833028017004745,32,0,4
Firenze,0.0040419950816744,1.185246447063364,121,Orti del Parnaso,649,4.213812397970813,0.9773,57763,0.9288832410075092,0.3333333333333333,0.38062330304242253,22,2,97
Firenze,0.0019945736581163,0.6287481707985472,86,Giardino dei Giusti,136,4.082149313492597,0.9786,52976,0.62909195827818,0.2777777777777778,0.38062330304242253,10,1,75
Firenze,0.0040792463357485,83.47389626858389,23,Giardino Ex Caterina De' Medici,5,4.042719090112455,-0.3089,56244,1.2143130643167008,0.2777777777777778,0.47363303164224513,10,0,13
Firenze,0.0199264508991688,19.6652869457534,31,Parco Giochi Del Saletto,90,4.069843851533992,0.9924,65849,0.37953492558109464,0.16666666666666666,0.6375515068760491,28,0,3
Firenze,0.0013549305835785,20.23490617802482,14,Area Cani Paolo Uccello,5,4.042042042042042,0.9442,49268,0.8760057656431737,0.16666666666666666,0.833028017004745,8,0,6
